source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task,rev_task,Ad_Rob_Imp,Res_Decon,Direct_App
Web of Science,WOS:001752598300002,10.1007/978-3-032-12070-0_2,Proceedings Paper,Assessment of an Approach for the Uncertainty Evaluation of Poses Derived from Automatic Point Cloud Registration,"Brandstaetter, Max; Mikschi, Markus; Neuner, Hans",2026,,"author_keywords=['Automatic point cloud registration', 'Ground truth', 'Multi-sensor system', 'Laser scanning', 'Mobile mapping']",,"CONTRIBUTIONS TO INTERNATIONAL CONFERENCES ON ENGINEERING SURVEYING, INGEO",,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001769079800001,10.1016/j.enbuild.2026.117560,Article,Integrating generative AI and BIM for sustainable construction and built Environment: An AHP-DEMATEL-based strategic framework,"Tam, Nguyen Van; Phong, Vu Van",2026,,"author_keywords=['GenAI', 'BIM', 'Sustainability', 'Construction', 'Built environment', 'Strategic framework', 'AHP-DEMATEL']",,ENERGY AND BUILDINGS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001767228500021,10.1061/JCCEE5.CPENG-7179,Article,Automatic Indoor Building 3D Wireframe Modeling from Point Clouds Spatial Geometry Information for As-Built BIM,"Liang, Xiaoli; Jia, Haoxue; Wang, Jiayao; Qin, Zhiqiang; Chen, Lei; Liu, Ke; Liu, Yunxiang; Dai, Cancong",2026,,"author_keywords=['Indoor modeling', 'Three-dimensional (3D) wireframe model', 'Point clouds', 'Spatial geometry information', 'As-built building information modeling (BIM)']",,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001766375700001,10.1016/j.enbuild.2026.117564,Article,A probabilistic assessment of hail hazard impact on the life cycle of BMPV systems,"di Filippo, Rocco; Maracchini, Gianluca; Di Maggio, Rosa; Bursi, Oreste S.; Albatici, Rossano",2026,,"author_keywords=['Hail risk', 'BMPV', 'EROI', 'Buildings', 'Lifecycle', 'PV']",,ENERGY AND BUILDINGS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001764990400001,10.1016/j.buildenv.2026.114675,Article,Physical vs. virtual environments: A comparative psychophysiological study on the restorative effects of window views,"Li, Jiaxin; Xie, Xudong; Li, Xiangxi; Liu, Chao; Fukuda, Hiroatsu; Gao, Weijun",2026,,"author_keywords=['Window view', 'Virtual reality', 'HRV', 'EEG', 'Machine learning']",,BUILDING AND ENVIRONMENT,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001756222700001,10.1016/j.autcon.2026.106952,Article,Comparative evaluation of robotically assembled discrete lattice systems for sustainable construction,"Smith, Miana; Richard, Paul; Rubio, Alfonso Parra; Gershenfeld, Neil",2026,,"author_keywords=['Robotic assembly', 'Architected lattices', 'Sustainability', 'Construction automation', 'Distributed robotics', 'Modular building systems', 'Additive manufacturing']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be,wos_rob_be,1,0,0
Web of Science,WOS:001745312900001,10.1016/j.engappai.2026.114779,Article,Automated image-based quality classification of basalt stone surfaces in manufacturing,"Pham, Trung-Tin; Tran, Thanh-Son; Cap, Thang; Vo, Bay; Le, Tuong",2026,,"author_keywords=['Neural networks', 'Automated quality inspection', 'Basalt stone surfaces', 'Industrial automation', 'Manufacturing quality control']",,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001745000000001,10.1016/j.jocm.2026.100607,Article,Heterogeneous impacts of system and vehicle security concern on autonomous vehicle adoption: A causal machine learning approach,"Sabzi, Behnam; Wang, Chuyue; Wang, Kailai; Li, Zhixia; Zhang, Yunpeng; Cheng, Long; Lim, Gino",2026,,"author_keywords=['System and vehicle security concern', 'Autonomous vehicles (AV) adoption', 'Heterogeneous treatment effects', 'Generalized random forests (GRF)', 'Causal machine learning (CausalML)']",,JOURNAL OF CHOICE MODELLING,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001743411300001,10.2166/wcc.2026.172,Article,"Net-zero water feasibility in a typical house in San Jose, Costa Rica: a one-water case study","Bohm, Martha; Carroll, Mountain; McGrady, Madeleine; Aguilar-Alvarez, Ronald Esteban; Torres Leiton, Anibal",2026,,"author_keywords=['alternative water harvesting', 'buildings', 'climate change', 'net-zero water', 'one-water', 'urban water management']",,JOURNAL OF WATER AND CLIMATE CHANGE,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001741251400003,10.15627/jd.2026.7,Article,Architectural Factors Affecting Illumination in Swedish Dairy Barns: Insights from Photometric Measurements and Simulations,"Ahmmad, Sheikh Rishad; Gentile, Niko; Rorvang, Maria Vilain; Jeppsson, Knut-Hakan; Dubois, Marie-Claude",2026,,"author_keywords=['photometric assessment', 'daylighting performance', 'electric lighting', 'animal building', 'agricultural building']",,JOURNAL OF DAYLIGHTING,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001736951200001,10.1007/s11116-026-10751-9,Article,Just another ride-hailing? examining the determinants of robotaxi demand in San Francisco,"Loa, Patrick; Lee, Yongsung; Circella, Giovanni",2026,,"author_keywords=['Robotaxi', 'Automated vehicle', 'Autonomous vehicle', 'Waymo', 'Shared automated vehicle']",,TRANSPORTATION,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001734938300001,10.1016/j.conbuildmat.2026.146062,Article,Development of high-performance stimuli-responsive epoxy coating for reinforced concrete: Chloride-triggered and self-regulating inhibitor release,"Jia, Xiaoyue; Yin, Xueling; Yin, Bing; Hou, Dongshuai; Wang, Zekun",2026,,"author_keywords=['Reinforced concrete', 'Intelligent coating', 'Anti-corrosion', 'Cl--responsive', 'Sustainable construction materials']",,CONSTRUCTION AND BUILDING MATERIALS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001735666000001,10.1016/j.cacaie.2026.100013,Article,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,"Xiao, Yifei; Yang, T. y.",2026,,"author_keywords=['Robotic construction', 'Reinforcement learning', 'Nonlinear backstepping hierarchical control', '5G network', 'Robot kinematics', 'Robotized crane', 'Autonomous construction', 'Remote construction']",,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001733976900001,10.1016/j.dibe.2026.100913,Article,Integration and evaluation of a 3D LiDAR SLAM system for construction robots in large-scale public building sites,"Feng, Chunyong; Yu, Junqi; Quan, Wei; Wang, Kai; Guo, Jugang; Chen, Yisheng; Dong, Zhenping",2026,,"author_keywords=['Large', 'scale public building', 'Construction site', 'Construction robot', 'LiDAR SLAM', 'System integration']",,DEVELOPMENTS IN THE BUILT ENVIRONMENT,,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001733040200001,10.1080/21642850.2026.2652615,Article,"""<i>There is only so much I can do as a lecturer<i>'</i><i>'</i></i>: University staff perspectives on undergraduate students' physical activity and sedentary behaviour","Wood, H. C.; Duncan, M.; Gardner, B.; Dommett, E. J.",2026,,"author_keywords=['University staff', 'university students', 'physical activity', 'sedentary behaviour', 'qualitative']",,HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001730947200003,10.1038/s41598-026-46568-w,Article,"Assessing regulatory institutions and building collapse in Lagos state, Nigeria","Salau, Wakeel Olorunwa; Anifowose, Rahman Kewulere",2026,,"author_keywords=['Urban development management', 'Built environment', 'Building collapse', 'Institutional effectiveness', 'Spatial analysis', 'Sustainable development goals', 'Regulatory enforcement', 'Lagos state', 'Nigeria']",,SCIENTIFIC REPORTS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001720588400001,10.1016/j.cscm.2026.e05981,Article,Smart building blocks based on confined individual carbon nanotube fibers within geopolymer matrix: A facile approach to monitor curing and mechanical stresses,"Karalis, George; Dong, Wenkui; Zhao, Jitong; Fan, Borong; Koeberle, Thomas; Ly, Khoa Hoang; Weidinger, Inez; Tzounis, Lazaros; Mechtcherine, Viktor; Liebscher, Marco",2026,,"author_keywords=['Carbon-nanotube fiber', 'Geopolymer', 'Multifunctional composite', 'Hardening monitoring', 'Piezoresistive sensing', 'Static-cyclic loads detecting']",,CASE STUDIES IN CONSTRUCTION MATERIALS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001701745900007,10.1007/978-3-032-09040-9_7,Proceedings Paper,"Automated Planning, Execution, and Re-planning of Terrestrial Laser Scanning in the Built Environment","Duraimany, Thivageran; Bosche, Frederic",2026,,"author_keywords=['Planning for Scanning', 'Building Information Model', 'Terrestrial Laser Scanner', 'Point Cloud', 'Virtual Laser Scanning']",,"BUILDING DIGITAL TWINS, BDTSC 2025",,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001714977000001,10.1016/j.dibe.2026.100901,Article,Vision-based detection system for recovering recyclable materials from dust-affected engineering waste streams,"Deng, Quanxue; Bai, Jing; Li, Zuohua; Liu, Peicheng; Yang, Qitao; Gong, Yunxuan; Ning, Jiafei",2026,,"author_keywords=['Engineering waste', 'Intelligent sorting', 'Material recovery', 'Sustainable construction', 'Computer vision', 'Deep learning']",,DEVELOPMENTS IN THE BUILT ENVIRONMENT,,wos_rob_be,wos_rob_be,0,1,0
Web of Science,WOS:001695616000005,10.1007/978-981-95-0090-1_5,Proceedings Paper,Embodied Carbon Upfront Data Calculation Using an Integrated BIM Power BI Approach,"Phonna, Nisarat; Sripattana, Supreya; Punurai, Wonsiri; Pratharnsap, Thitipat",2025,,"author_keywords=['Embodied Carbon', 'BIM', 'Sustainability', 'Dynamo', 'Data Analytics', 'Power BI']",,"PROCEEDINGS OF THE 18TH EAST ASIA-PACIFIC CONFERENCE ON STRUCTURAL ENGINEERING AND CONSTRUCTION, VOL 3, EASEC 2024",,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001709257500001,10.1680/jcien.25.00464,Article,Beyond the Common Data Environment: unlocking supply chain collaboration with neuro-symbolic artificial intelligence,"Goldsmith, Tom; Rees, Sam",2026,,"author_keywords=['information management', 'interoperability', 'neuro-symbolic AI', 'productivity', 'UN SDG 9: Industry, innovation and infrastructure']",,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001702922000001,10.1016/j.ssci.2026.107143,Review,Machine learning in pedestrian and evacuation dynamics for the built environment: A systematic literature review,"Berggold, Patrick; Cukarska, Ana; Nousias, Stavros; Dietrich, Felix; Borrmann, Andre",2026,,"author_keywords=['Pedestrian dynamics', 'Evacuation dynamics', 'Machine learning', 'Review', 'Deep learning', 'Built environment']",,SAFETY SCIENCE,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001703607500001,10.1016/j.autcon.2026.106852,Article,Optimizing on-site building material handling with construction robotics,"Wang, Huiwen; Yi, Wen; Tan, Yi",2026,,"author_keywords=['Construction automation', 'On-site logistics', 'Material handling robots', 'Automated route planning', 'Task allocation and scheduling']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be,wos_rob_be,1,1,0
Web of Science,WOS:001688457400001,10.1007/s41939-026-01182-1,Review,"Cold sintering for in-space materials fabrication: a science, engineering, and future directions","Mamaghani, Kaveh Rahimi; Parvin, Nader",2026,,"author_keywords=['Cold sintering process', 'In-situ resource utilization (ISRU)', 'Lunar regolith', 'Martian regolith', 'Space manufacturing', 'Additive manufacturing']",,MULTISCALE AND MULTIDISCIPLINARY MODELING EXPERIMENTS AND DESIGN,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001697407900012,10.5195/errs.2025.689,Article,Intercultural Hermeneutics Contextualized A Prolegomena to Future Architectural Theories,"Qiu, Yu-Xin Vincent",2025,,"author_keywords=['Horizon of experience', 'text', 'technical object', 'cultural milieu', 'architecture']",,ETUDES RICOEURIENNES-RICOEUR STUDIES,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001698487100001,10.1016/j.rser.2026.116836,Article,"Self-adaptive radiative cooling for building envelopes: Principles, materials, applications, and perspectives","Qu, Wenyan; Fan, Yuxiang; Gong, Quan; Liu, Xingjiang; Jiao, Kai; Mi, Wensen; Shen, Chao; Lu, Lin",2026,,"author_keywords=['Self-adaptive radiative cooling', 'Building envelopes', 'Dynamic thermal management', 'Zero-energy smart buildings']",,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,wos_rob_be,wos_rob_be,0,0,0
Web of Science,WOS:001701401200001,10.3390/buildings16040787,Article,Extraction and Conservation of Urban Architectural Style Features in Qinghai-Tibet Plateau Towns Based on Principal Component Analysis and Cluster Analysis,"Liu, Jianguo; Liu, Benteng; Ye, Lisha",2026,,"author_keywords=['urban style', 'feature selection', 'principal component analysis', 'cluster analysis']",,BUILDINGS,,wos_rob_be,wos_rob_be,0,0,0
